"Date ","Symbol ","Security Name ","Client Name ","Buy / Sell ","Quantity Traded ","Trade Price / Wght. Avg. Price ","Remarks "
"02-MAR-2023","ADANIGREEN","Adani Green Energy Ltd","EMPLOYEES RETIREMENT SYSTEM OF TEXAS","BUY","1,56,710","504.60","-"
"02-MAR-2023","ADANIGREEN","Adani Green Energy Ltd","GENERAL ORGANIZATION FOR SOCIAL INSURANCE","BUY","5,76,382","504.60","-"
"02-MAR-2023","ADANIGREEN","Adani Green Energy Ltd","GOLDMAN SACHS TRUST II - GOLDMAN SACHS GQG PARTNERS INTERNATIONAL OPPORTUNITIES FUND","BUY","2,25,22,850","504.60","-"
"02-MAR-2023","ADANIGREEN","Adani Green Energy Ltd","GOLDMAN SACHS TRUST II - GOLDMAN SACHS MULTI-MANAGER ALTERNATIVES FUND","BUY","11,379","504.60","-"
"02-MAR-2023","ADANIGREEN","Adani Green Energy Ltd","GQG PARTNERS EMERGING MARKETS EQUITY FUND","BUY","6,03,358","504.60","-"
"02-MAR-2023","ADANIGREEN","Adani Green Energy Ltd","GQG PARTNERS EMERGING MARKETS EQUITY FUND","BUY","1,38,14,788","504.60","-"
"02-MAR-2023","ADANIGREEN","Adani Green Energy Ltd","GQG PARTNERS EMERGING MARKETS EQUITY FUND A SERIES OF GQG PARTNERS SERIES LLC","BUY","45,91,336","504.60","-"
"02-MAR-2023","ADANIGREEN","Adani Green Energy Ltd","GQG PARTNERS EMERGING MARKETS EQUITY FUND A SUB FUND OF GQG GLOBAL UCITS ICAV","BUY","22,51,791","504.60","-"
"02-MAR-2023","ADANIGREEN","Adani Green Energy Ltd","GQG PARTNERS INTERNATIONAL QUALITY EQUITY FUND","BUY","1,13,785","504.60","-"
"02-MAR-2023","ADANIGREEN","Adani Green Energy Ltd","GSF II GOLDMAN SACHS GLOBAL MULTI MANAGER ALTERNATIVES PORTFOLIO (GQG PARTNERS LLC)","BUY","26,398","504.60","-"
"02-MAR-2023","ADANIGREEN","Adani Green Energy Ltd","JNL/GQG EMERGING MARKETS EQUITY FUND","BUY","8,33,805","504.60","-"
"02-MAR-2023","ADANIGREEN","Adani Green Energy Ltd","NEW YORK STATE COMMON RETIREMENT FUND","BUY","6,42,264","504.60","-"
"02-MAR-2023","ADANIGREEN","Adani Green Energy Ltd","RELIANCE TRUST INSTITUTIONAL RETIREMENT TRUST SERIES ELEVEN","BUY","27,57,210","504.60","-"
"02-MAR-2023","ADANIGREEN","Adani Green Energy Ltd","RELIANCE TRUST INSTITUTIONAL RETIREMENT TRUST SERIES TWELVE","BUY","10,23,034","504.60","-"
"02-MAR-2023","ADANIGREEN","Adani Green Energy Ltd","S.B. ADANI FAMILY TRUST","SELL","5,56,00,000","504.60","-"
"02-MAR-2023","ADANIGREEN","Adani Green Energy Ltd","UNITED SUPER PTY LTD AS TRUSTEE FOR CONSTRUCTION AND BUILDING UNIONS SUPERANNUATION FUND","BUY","2,03,314","504.60","-"
"02-MAR-2023","ADANIGREEN","Adani Green Energy Ltd","VANTAGETRUST III MASTER COLLECTIVE INVESTMENT FUNDS TRUST","BUY","2,68,534","504.60","-"
"02-MAR-2023","ADANIGREEN","Adani Green Energy Ltd","WASHINGTON ST INVESTMENT BOARD MANAGED BY GQG PARTNERS LLC","BUY","9,28,763","504.60","-"
"02-MAR-2023","ADANIGREEN","Adani Green Energy Ltd","WITAN INVESTMENT TRUST PLC RE GQG PARTNERS LLC","BUY","1,50,150","504.60","-"
"02-MAR-2023","ADANIPORTS","ADANI PORT & SEZ LTD","ACTIVE EMERGING MARKETS EQUITY FUND","BUY","16,46,595","596.20","-"
"02-MAR-2023","ADANIPORTS","ADANI PORT & SEZ LTD","AUSTRALIANSUPER","BUY","22,93,677","596.20","-"
"02-MAR-2023","ADANIPORTS","ADANI PORT & SEZ LTD","BBH GQG PARTNERS EMERGING MARKETS EQUITY MASTER FUND LP","BUY","17,62,194","596.20","-"
"02-MAR-2023","ADANIPORTS","ADANI PORT & SEZ LTD","CARE SUPER PTY LTD AS TRUSTEE FOR CARE SUPER","BUY","3,94,498","596.20","-"
"02-MAR-2023","ADANIPORTS","ADANI PORT & SEZ LTD","EMPLOYEES RETIREMENT SYSTEM OF TEXAS","BUY","2,69,596","596.20","-"
"02-MAR-2023","ADANIPORTS","ADANI PORT & SEZ LTD","GENERAL ORGANIZATION FOR SOCIAL INSURANCE","BUY","8,52,099","596.20","-"
"02-MAR-2023","ADANIPORTS","ADANI PORT & SEZ LTD","GOLDMAN SACHS TRUST II - GOLDMAN SACHS GQG PARTNERS INTERNATIONAL OPPORTUNITIES FUND","BUY","3,87,47,180","596.20","-"
"02-MAR-2023","ADANIPORTS","ADANI PORT & SEZ LTD","GOLDMAN SACHS TRUST II - GOLDMAN SACHS MULTI-MANAGER ALTERNATIVES FUND","BUY","18,344","596.20","-"
"02-MAR-2023","ADANIPORTS","ADANI PORT & SEZ LTD","GQG PARTNERS EMERGING MARKETS EQUITY FUND","BUY","8,91,979","596.20","-"
"02-MAR-2023","ADANIPORTS","ADANI PORT & SEZ LTD","GQG PARTNERS EMERGING MARKETS EQUITY FUND","BUY","2,04,23,187","596.20","-"
"02-MAR-2023","ADANIPORTS","ADANI PORT & SEZ LTD","GQG PARTNERS EMERGING MARKETS EQUITY FUND A SERIES OF GQG PARTNERS SERIES LLC","BUY","67,87,633","596.20","-"
"02-MAR-2023","ADANIPORTS","ADANI PORT & SEZ LTD","GQG PARTNERS EMERGING MARKETS EQUITY FUND A SUB FUND OF GQG GLOBAL UCITS ICAV","BUY","33,28,951","596.20","-"
"02-MAR-2023","ADANIPORTS","ADANI PORT & SEZ LTD","GQG PARTNERS INTERNATIONAL QUALITY EQUITY FUND","BUY","1,97,917","596.20","-"
"02-MAR-2023","ADANIPORTS","ADANI PORT & SEZ LTD","GSF II GOLDMAN SACHS GLOBAL MULTI MANAGER ALTERNATIVES PORTFOLIO (GQG PARTNERS LLC)","BUY","43,445","596.20","-"
"02-MAR-2023","ADANIPORTS","ADANI PORT & SEZ LTD","JNL/GQG EMERGING MARKETS EQUITY FUND","BUY","12,32,662","596.20","-"
"02-MAR-2023","ADANIPORTS","ADANI PORT & SEZ LTD","NEW YORK STATE COMMON RETIREMENT FUND","BUY","11,04,919","596.20","-"
"02-MAR-2023","ADANIPORTS","ADANI PORT & SEZ LTD","RELIANCE TRUST INSTITUTIONAL RETIREMENT TRUST SERIES ELEVEN","BUY","47,43,366","596.20","-"
"02-MAR-2023","ADANIPORTS","ADANI PORT & SEZ LTD","RELIANCE TRUST INSTITUTIONAL RETIREMENT TRUST SERIES TWELVE","BUY","15,12,409","596.20","-"
"02-MAR-2023","ADANIPORTS","ADANI PORT & SEZ LTD","S.B. ADANI FAMILY TRUST","SELL","8,86,00,000","596.20","-"
"02-MAR-2023","ADANIPORTS","ADANI PORT & SEZ LTD","UNITED SUPER PTY LTD AS TRUSTEE FOR CONSTRUCTION AND BUILDING UNIONS SUPERANNUATION FUND","BUY","3,00,570","596.20","-"
"02-MAR-2023","ADANIPORTS","ADANI PORT & SEZ LTD","VANTAGETRUST III MASTER COLLECTIVE INVESTMENT FUNDS TRUST","BUY","4,53,760","596.20","-"
"02-MAR-2023","ADANIPORTS","ADANI PORT & SEZ LTD","WASHINGTON ST INVESTMENT BOARD MANAGED BY GQG PARTNERS LLC","BUY","13,73,043","596.20","-"
"02-MAR-2023","ADANIPORTS","ADANI PORT & SEZ LTD","WITAN INVESTMENT TRUST PLC RE GQG PARTNERS LLC","BUY","2,21,976","596.20","-"
"02-MAR-2023","ADANITRANS","Adani Transmission Ltd","ACTIVE EMERGING MARKETS EQUITY FUND","BUY","7,16,951","668.40","-"
"02-MAR-2023","ADANITRANS","Adani Transmission Ltd","AUSTRALIANSUPER","BUY","9,98,700","668.40","-"
"02-MAR-2023","ADANITRANS","Adani Transmission Ltd","BBH GQG PARTNERS EMERGING MARKETS EQUITY MASTER FUND LP","BUY","7,67,285","668.40","-"
"02-MAR-2023","ADANITRANS","Adani Transmission Ltd","CARE SUPER PTY LTD AS TRUSTEE FOR CARE SUPER","BUY","1,71,770","668.40","-"
"02-MAR-2023","ADANITRANS","Adani Transmission Ltd","EMPLOYEES RETIREMENT SYSTEM OF TEXAS","BUY","57,162","668.40","-"
"02-MAR-2023","ADANITRANS","Adani Transmission Ltd","GENERAL ORGANIZATION FOR SOCIAL INSURANCE","BUY","3,71,016","668.40","-"
"02-MAR-2023","ADANITRANS","Adani Transmission Ltd","GOLDMAN SACHS TRUST II - GOLDMAN SACHS GQG PARTNERS INTERNATIONAL OPPORTUNITIES FUND","BUY","82,15,488","668.40","-"
"02-MAR-2023","ADANITRANS","Adani Transmission Ltd","GOLDMAN SACHS TRUST II - GOLDMAN SACHS MULTI-MANAGER ALTERNATIVES FUND","BUY","4,219","668.40","-"
"02-MAR-2023","ADANITRANS","Adani Transmission Ltd","GQG PARTNERS EMERGING MARKETS EQUITY FUND","BUY","3,88,381","668.40","-"
"02-MAR-2023","ADANITRANS","Adani Transmission Ltd","GQG PARTNERS EMERGING MARKETS EQUITY FUND","BUY","88,92,556","668.40","-"
"02-MAR-2023","ADANITRANS","Adani Transmission Ltd","GQG PARTNERS EMERGING MARKETS EQUITY FUND A SERIES OF GQG PARTNERS SERIES LLC","BUY","29,55,435","668.40","-"
"02-MAR-2023","ADANITRANS","Adani Transmission Ltd","GQG PARTNERS EMERGING MARKETS EQUITY FUND A SUB FUND OF GQG GLOBAL UCITS ICAV","BUY","14,49,474","668.40","-"
"02-MAR-2023","ADANITRANS","Adani Transmission Ltd","GQG PARTNERS INTERNATIONAL QUALITY EQUITY FUND","BUY","43,615","668.40","-"
"02-MAR-2023","ADANITRANS","Adani Transmission Ltd","GSF II GOLDMAN SACHS GLOBAL MULTI MANAGER ALTERNATIVES PORTFOLIO (GQG PARTNERS LLC)","BUY","10,569","668.40","-"
"02-MAR-2023","ADANITRANS","Adani Transmission Ltd","JNL/GQG EMERGING MARKETS EQUITY FUND","BUY","5,36,719","668.40","-"
"02-MAR-2023","ADANITRANS","Adani Transmission Ltd","NEW YORK STATE COMMON RETIREMENT FUND","BUY","2,34,273","668.40","-"
"02-MAR-2023","ADANITRANS","Adani Transmission Ltd","RELIANCE TRUST INSTITUTIONAL RETIREMENT TRUST SERIES ELEVEN","BUY","10,05,727","668.40","-"
"02-MAR-2023","ADANITRANS","Adani Transmission Ltd","RELIANCE TRUST INSTITUTIONAL RETIREMENT TRUST SERIES TWELVE","BUY","6,58,525","668.40","-"
"02-MAR-2023","ADANITRANS","Adani Transmission Ltd","S.B. ADANI FAMILY TRUST","SELL","2,84,00,000","668.40","-"
"02-MAR-2023","ADANITRANS","Adani Transmission Ltd","UNITED SUPER PTY LTD AS TRUSTEE FOR CONSTRUCTION AND BUILDING UNIONS SUPERANNUATION FUND","BUY","1,30,873","668.40","-"
"02-MAR-2023","ADANITRANS","Adani Transmission Ltd","VANTAGETRUST III MASTER COLLECTIVE INVESTMENT FUNDS TRUST","BUY","96,767","668.40","-"
"02-MAR-2023","ADANITRANS","Adani Transmission Ltd","WASHINGTON ST INVESTMENT BOARD MANAGED BY GQG PARTNERS LLC","BUY","5,97,843","668.40","-"
"02-MAR-2023","ADANITRANS","Adani Transmission Ltd","WITAN INVESTMENT TRUST PLC RE GQG PARTNERS LLC","BUY","96,652","668.40","-"
"03-MAR-2023","EMBASSY","Embassy Office Parks REIT","APAC COMPANY XXIII LIMITED","BUY","3,70,50,000","299.34","-"
"03-MAR-2023","EMBASSY","Embassy Office Parks REIT","EMBASSY PROPERTY DEVELOPMENTS PRIVATE LIMITED","SELL","4,26,20,523","299.34","-"
"03-MAR-2023","EMBASSY","Embassy Office Parks REIT","THE REGENTS OF THE UNIVERSITY OF CALIFORNIA","BUY","55,70,523","299.34","-"
"06-MAR-2023","BAJAJFINSV","Bajaj Finserv Limited","JAMNALAL SONS PRIVATE LIMITED","BUY","4,35,000","1,390.00","-"
"06-MAR-2023","BAJAJFINSV","Bajaj Finserv Limited","RAJIVNAYAN BAJAJ","SELL","4,35,000","1,390.00","-"
"08-MAR-2023","KIRLOSENG","Kirloskar Oil Eng Ltd","ALPNA ENTERPRISES","BUY","3,13,665","322.00","-"
"08-MAR-2023","KIRLOSENG","Kirloskar Oil Eng Ltd","AMBAR GAUTAM KULKARNI","SELL","62,85,406","322.00","-"
"08-MAR-2023","KIRLOSENG","Kirloskar Oil Eng Ltd","ANTIQUE SECURITIES PVT.LTD.","BUY","3,15,217","322.00","-"
"08-MAR-2023","KIRLOSENG","Kirloskar Oil Eng Ltd","AURIGIN MASTER FUND LIMITED","BUY","3,10,870","322.00","-"
"08-MAR-2023","KIRLOSENG","Kirloskar Oil Eng Ltd","BIRLA SUNLIFE INSURANCE CO.LTD","BUY","17,08,075","322.00","-"
"08-MAR-2023","KIRLOSENG","Kirloskar Oil Eng Ltd","BNP PARIBAS ARBITRAGE","BUY","12,42,236","322.00","-"
"08-MAR-2023","KIRLOSENG","Kirloskar Oil Eng Ltd","CYBAGE SOFTWARE PRIVATE LIMITED","BUY","9,31,677","322.00","-"
"08-MAR-2023","KIRLOSENG","Kirloskar Oil Eng Ltd","DSP MUTUAL FUND","BUY","24,84,472","322.00","-"
"08-MAR-2023","KIRLOSENG","Kirloskar Oil Eng Ltd","EAST LANE CAPITAL LLP","BUY","4,65,839","322.00","-"
"08-MAR-2023","KIRLOSENG","Kirloskar Oil Eng Ltd","FRANKLIN TEMPLETON MUTUAL FUND","BUY","13,97,516","322.00","-"
"08-MAR-2023","KIRLOSENG","Kirloskar Oil Eng Ltd","HSBC MUTUAL FUND","BUY","15,52,795","322.00","-"
"08-MAR-2023","KIRLOSENG","Kirloskar Oil Eng Ltd","ITI MUTUAL FUND","BUY","4,65,839","322.00","-"
"08-MAR-2023","KIRLOSENG","Kirloskar Oil Eng Ltd","JAGDISH NARESH MASTER","BUY","3,85,093","322.00","-"
"08-MAR-2023","KIRLOSENG","Kirloskar Oil Eng Ltd","JM FINANCIAL MUTUAL FUND","BUY","3,10,870","322.00","-"
"08-MAR-2023","KIRLOSENG","Kirloskar Oil Eng Ltd","JYOTSNA GAUTAM KULKARNI","SELL","1,29,70,499","322.00","-"
"08-MAR-2023","KIRLOSENG","Kirloskar Oil Eng Ltd","KHAZANA TRADELINKS PRIVATE LIMITED","BUY","3,75,000","322.00","-"
"08-MAR-2023","KIRLOSENG","Kirloskar Oil Eng Ltd","MAX LIFE INSURANCE COMPANY LIMITED","BUY","29,50,311","322.00","-"
"08-MAR-2023","KIRLOSENG","Kirloskar Oil Eng Ltd","MOTILAL OSWAL MUTUAL FUND A/C MOTILAL OSWAL MIDCAP 30 FUND","BUY","23,29,193","322.00","-"
"08-MAR-2023","KIRLOSENG","Kirloskar Oil Eng Ltd","NIHAL GAUTAM KULKARNI","SELL","63,67,082","322.00","-"
"08-MAR-2023","KIRLOSENG","Kirloskar Oil Eng Ltd","NIPPON INDIA MUTUAL FUND","BUY","35,71,429","322.00","-"
"08-MAR-2023","KIRLOSENG","Kirloskar Oil Eng Ltd","SAGEONE INVESTMENT MANAGERS LLP","BUY","5,00,000","322.00","-"
"08-MAR-2023","KIRLOSENG","Kirloskar Oil Eng Ltd","SOCIETE GENERALE","BUY","3,10,870","322.00","-"
"08-MAR-2023","KIRLOSENG","Kirloskar Oil Eng Ltd","SUBHKAM VENTURES I PRIVATE LIMITED","BUY","5,25,000","322.00","-"
"08-MAR-2023","KIRLOSENG","Kirloskar Oil Eng Ltd","SUBHKAM VENTURES I PRIVATE LIMITED","BUY","5,00,000","322.00","-"
"08-MAR-2023","KIRLOSENG","Kirloskar Oil Eng Ltd","SUNDARAM TRADING AND INVESTMENT PVT LTD","BUY","3,13,665","322.00","-"
"08-MAR-2023","KIRLOSENG","Kirloskar Oil Eng Ltd","THE NOMURA TRUST AND BANKING CO. LTD AS THE TRUSTEE OF NOMURA INDIAN STOCK MOTHER FUND","BUY","15,83,851","322.00","-"
"08-MAR-2023","KIRLOSENG","Kirloskar Oil Eng Ltd","THE REGENTS OF THE UNIVERSITY OF CALIFORNIA","BUY","4,65,839","322.00","-"
"08-MAR-2023","KIRLOSENG","Kirloskar Oil Eng Ltd","URJITA JAGDISH MASTER","BUY","3,13,665","322.00","-"
"14-MAR-2023","BAJAJFINSV","Bajaj Finserv Limited","BAJAJ SEVASHRAM PRIVATE LIMITED","BUY","1,25,125","1,290.00","-"
"14-MAR-2023","BAJAJFINSV","Bajaj Finserv Limited","DEEPA BAJAJ","SELL","1,25,125","1,290.00","-"
"14-MAR-2023","LAURUSLABS","Laurus Labs Limited","ARUN VIJAY NATHANI","BUY","6,35,894","305.00","-"
"14-MAR-2023","LAURUSLABS","Laurus Labs Limited","CYBAGE SOFTWARE PRIVATE LIMITED","SELL","6,35,894","305.00","-"
"15-MAR-2023","HIKAL","Hikal Limited","CYBAGE SOFTWARE PRIVATE LIMITED","SELL","6,14,385","297.00","-"
"15-MAR-2023","HIKAL","Hikal Limited","RITU ARUN NATHANI","BUY","6,14,385","297.00","-"
"16-MAR-2023","BAJAJFINSV","Bajaj Finserv Limited","BAJAJ SEVASHRAM PRIVATE LIMITED","BUY","4,90,000","1,296.00","-"
"16-MAR-2023","BAJAJFINSV","Bajaj Finserv Limited","KAMALNAYAN INVESTMENTS AND TRADING PRIVATE LIMITED","BUY","1,38,000","1,296.00","-"
"16-MAR-2023","BAJAJFINSV","Bajaj Finserv Limited","NIRAJ HOLDINGS PRIVATE LIMITED","BUY","1,41,000","1,296.00","-"
"16-MAR-2023","BAJAJFINSV","Bajaj Finserv Limited","RISHAB FAMILY TRUST","SELL","7,69,000","1,296.00","-"
"22-MAR-2023","MFSL","Max Fin Serv Ltd","MAX VENTURES INVESTMENT HOLDINGS PRIVATE LIMITED","SELL","14,99,997","629.75","-"
"22-MAR-2023","MFSL","Max Fin Serv Ltd","NEW YORK LIFE INSURANCE COMPANY","BUY","14,99,997","629.75","-"
"24-MAR-2023","ASAHIINDIA","Asahi India Glass Limited","ALLIED FINCAP SERVICES PRIVATE LIMITED","BUY","4,00,000","466.00","-"
"24-MAR-2023","ASAHIINDIA","Asahi India Glass Limited","LABROO SANJAY MOHAN","SELL","4,00,000","466.00","-"
"27-MAR-2023","TRIDENT","Trident Limited","MADHURAJ FOUNDATION","BUY","1,23,85,000","25.75","-"
"27-MAR-2023","TRIDENT","Trident Limited","TRIDENT LIMITED EMPLOYEES WELFARE TRUST","SELL","1,23,85,000","25.75","-"
"28-MAR-2023","BAJAJFINSV","Bajaj Finserv Limited","ANANT BAJAJ TRUST","BUY","4,05,000","1,235.00","-"
"28-MAR-2023","BAJAJFINSV","Bajaj Finserv Limited","GEETIKA SHEKHAR BAJAJ TRUST","SELL","4,05,000","1,235.00","-"
"29-MAR-2023","INOXWIND","Inox Wind Limited","ARYAVARDHAN TRADING LLP","BUY","15,00,000","94.90","-"
"29-MAR-2023","INOXWIND","Inox Wind Limited","DEVANSH TRADEMART LLP","SELL","15,00,000","94.90","-"
"29-MAR-2023","NBIFIN","N.B.I. Ind. Fin. Co. Ltd","DORITE TRACON PRIVATE LIMITED","BUY","94,000","1,450.00","-"
"29-MAR-2023","NBIFIN","N.B.I. Ind. Fin. Co. Ltd","NARANTAK DEALCOMM LIMITED","SELL","94,000","1,450.00","-"
"31-MAR-2023","PSPPROJECT","PSP Projects Limited","SHILPABEN PRAHALADBHAI PATEL","SELL","6,20,000","664.35","-"
"31-MAR-2023","PSPPROJECT","PSP Projects Limited","SOCIETE GENERALE","BUY","6,20,000","664.35","-"
"31-MAR-2023","SHRIRAMPPS","Shriram Properties Ltd","AURUM REALESTATE DEVELOPERS LIMITED","BUY","2,42,59,615","55.05","-"
"31-MAR-2023","SHRIRAMPPS","Shriram Properties Ltd","WSI WSQI V (XXXII) MAURITIUS INVESTORS LIMITED","SELL","2,42,59,615","55.05","-"
"17-APR-2023","POONAWALLA","Poonawalla Fincorp Ltd","ABSL UMBRELLA UCITS FUND PLC-INDIA FRONTLINE EQUITY FUND","BUY","3,56,123","290.00","-"
"17-APR-2023","POONAWALLA","Poonawalla Fincorp Ltd","ADITYA BIRLA SUN LIFE MUTUAL FUND","BUY","2,67,916","290.00","-"
"17-APR-2023","POONAWALLA","Poonawalla Fincorp Ltd","ADITYA BIRLA SUN LIFE MUTUAL FUND","BUY","89,305","290.00","-"
"17-APR-2023","POONAWALLA","Poonawalla Fincorp Ltd","ADITYA BIRLA SUN LIFE MUTUAL FUND","BUY","3,57,221","290.00","-"
"17-APR-2023","POONAWALLA","Poonawalla Fincorp Ltd","ADITYA BIRLA SUN LIFE MUTUAL FUND","BUY","1,78,611","290.00","-"
"17-APR-2023","POONAWALLA","Poonawalla Fincorp Ltd","ADITYA BIRLA SUN LIFE MUTUAL FUND","BUY","6,25,137","290.00","-"
"17-APR-2023","POONAWALLA","Poonawalla Fincorp Ltd","ADITYA BIRLA SUN LIFE MUTUAL FUND","BUY","8,93,053","290.00","-"
"17-APR-2023","POONAWALLA","Poonawalla Fincorp Ltd","ADITYA BIRLA SUN LIFE MUTUAL FUND","BUY","16,07,497","290.00","-"
